video_id,track,clip,frame,yaw,pitch,roll,face_found
VID_ (1),15,0,4,,,,0
VID_ (1),15,0,5,,,,0
VID_ (1),15,0,6,,,,0
VID_ (1),15,0,7,,,,0
VID_ (1),16,0,0,,,,0
VID_ (1),16,0,1,,,,0
VID_ (1),16,0,2,,,,0
VID_ (1),16,0,3,,,,0
VID_ (1),16,0,4,,,,0
VID_ (1),16,0,5,,,,0
VID_ (1),16,0,6,,,,0
VID_ (1),16,0,7,,,,0
VID_ (1),16,1,0,,,,0
VID_ (1),16,1,1,,,,0
VID_ (1),16,1,2,,,,0
VID_ (1),16,1,3,,,,0
VID_ (1),16,1,4,,,,0
VID_ (1),16,1,5,,,,0
VID_ (1),16,1,6,,,,0
VID_ (1),16,1,7,,,,0
VID_ (1),16,2,0,,,,0
VID_ (1),16,2,1,,,,0
VID_ (1),16,2,2,,,,0
VID_ (1),16,2,3,,,,0
VID_ (1),16,2,4,,,,0
VID_ (1),16,2,5,,,,0
VID_ (1),16,2,6,,,,0
VID_ (1),16,2,7,,,,0
VID_ (1),16,3,0,,,,0
VID_ (1),16,3,1,,,,0
VID_ (1),16,3,2,,,,0
VID_ (1),16,3,3,,,,0
VID_ (1),16,3,4,,,,0
VID_ (1),16,3,5,,,,0
VID_ (1),16,3,6,,,,0
VID_ (1),16,3,7,,,,0
VID_ (1),16,4,0,,,,0
VID_ (1),16,4,1,,,,0
VID_ (1),16,4,2,,,,0
VID_ (1),16,4,3,,,,0
VID_ (1),16,4,4,,,,0
VID_ (1),16,4,5,,,,0
VID_ (1),16,4,6,,,,0
VID_ (1),16,4,7,,,,0
VID_ (1),16,5,0,,,,0
VID_ (1),16,5,1,,,,0
VID_ (1),16,5,2,,,,0
VID_ (1),16,5,3,,,,0
VID_ (1),16,5,4,,,,0
VID_ (1),16,5,5,,,,0
VID_ (1),16,5,6,,,,0
VID_ (1),16,5,7,,,,0
VID_ (1),17,0,0,,,,0
VID_ (1),17,0,1,,,,0
VID_ (1),17,0,2,,,,0
VID_ (1),17,0,3,,,,0
VID_ (1),17,0,4,,,,0
VID_ (1),17,0,5,,,,0
VID_ (1),17,0,6,,,,0
VID_ (1),17,0,7,,,,0
VID_ (1),17,1,0,,,,0
VID_ (1),17,1,1,,,,0
VID_ (1),17,1,2,,,,0
VID_ (1),17,1,3,,,,0
VID_ (1),17,1,4,,,,0
VID_ (1),17,1,5,63.41,-22.79,-22.73,1
VID_ (1),17,1,6,,,,0
VID_ (1),17,1,7,,,,0
VID_ (1),17,2,0,,,,0
VID_ (1),17,2,1,63.41,-22.79,-22.73,1
VID_ (1),17,2,2,,,,0
VID_ (1),17,2,3,,,,0
VID_ (1),17,2,4,,,,0
VID_ (1),17,2,5,48.23,-7.15,-10.59,1
VID_ (1),17,2,6,,,,0
VID_ (1),17,2,7,,,,0
VID_ (1),17,3,0,,,,0
VID_ (1),17,3,1,48.23,-7.15,-10.59,1
VID_ (1),17,3,2,,,,0
VID_ (1),17,3,3,,,,0
VID_ (1),17,3,4,,,,0
VID_ (1),17,3,5,,,,0
VID_ (1),17,3,6,,,,0
VID_ (1),17,3,7,,,,0
VID_ (1),17,4,0,,,,0
VID_ (1),17,4,1,,,,0
VID_ (1),17,4,2,,,,0
VID_ (1),17,4,3,,,,0
VID_ (1),17,4,4,,,,0
VID_ (1),17,4,5,45.62,-6.25,-26.15,1
VID_ (1),17,4,6,,,,0
VID_ (1),17,4,7,,,,0
VID_ (1),2,0,0,2.03,-11.46,-0.72,1
VID_ (1),2,0,1,1.84,-13.48,-0.43,1
VID_ (1),2,0,2,3.29,-13.38,-0.01,1
VID_ (1),2,0,3,5.39,-13.61,0.78,1
VID_ (1),2,0,4,18.1,-13.51,1.77,1
VID_ (1),2,0,5,20.54,-10.84,2.25,1
VID_ (1),2,0,6,-11.27,-12.17,-1.79,1
VID_ (1),2,0,7,-32.55,-13.63,-4.65,1
VID_ (1),2,1,0,18.1,-13.51,1.77,1
VID_ (1),2,1,1,20.54,-10.84,2.25,1
VID_ (1),2,1,2,-11.27,-12.17,-1.79,1
VID_ (1),2,1,3,-32.55,-13.63,-4.65,1
VID_ (1),2,1,4,-48.81,-10.08,-5.8,1
VID_ (1),2,1,5,-47.54,-12.49,-4.5,1
VID_ (1),2,1,6,-56.39,-8.68,-3.61,1
VID_ (1),2,1,7,-53.62,-7.83,-7.53,1
VID_ (1),2,2,0,-48.81,-10.08,-5.8,1
VID_ (1),2,2,1,-47.54,-12.49,-4.5,1
VID_ (1),2,2,2,-56.39,-8.68,-3.61,1
VID_ (1),2,2,3,-53.62,-7.83,-7.53,1
VID_ (1),2,2,4,-50.92,-9.38,-7.06,1
VID_ (1),2,2,5,-51.58,-9.68,-7.76,1
VID_ (1),2,2,6,-49.63,-8.3,-7.27,1
VID_ (1),2,2,7,-48.7,-23.28,4.79,1
VID_ (1),2,3,0,-50.92,-9.38,-7.06,1
VID_ (1),2,3,1,-51.58,-9.68,-7.76,1
VID_ (1),2,3,2,-49.63,-8.3,-7.27,1
VID_ (1),2,3,3,-48.7,-23.28,4.79,1
VID_ (1),2,3,4,-39.14,-20.71,6.19,1
VID_ (1),2,3,5,-29.19,-13.24,0.25,1
VID_ (1),2,3,6,-14.24,-12.12,-2.64,1
VID_ (1),2,3,7,-28.08,-10.53,-1.8,1
VID_ (1),2,4,0,-39.14,-20.71,6.19,1
VID_ (1),2,4,1,-29.19,-13.24,0.25,1
VID_ (1),2,4,2,-14.24,-12.12,-2.64,1
VID_ (1),2,4,3,-28.08,-10.53,-1.8,1
VID_ (1),2,4,4,-33.1,-3.88,-3.6,1
VID_ (1),2,4,5,-53.46,-11.87,-1.91,1
VID_ (1),2,4,6,-17.85,-13.76,-2.1,1
VID_ (1),2,4,7,-0.26,-7.53,1.4,1
VID_ (1),2,5,0,-33.1,-3.88,-3.6,1
VID_ (1),2,5,1,-53.46,-11.87,-1.91,1
VID_ (1),2,5,2,-17.85,-13.76,-2.1,1
VID_ (1),2,5,3,-0.26,-7.53,1.4,1
VID_ (1),2,5,4,1.62,-11.21,4.64,1
VID_ (1),2,5,5,2.3,-8.92,3.36,1
VID_ (1),2,5,6,-12.67,-11.57,1.72,1
VID_ (1),2,5,7,-40.64,-15.32,2.0,1
VID_ (1),2,6,0,1.62,-11.21,4.64,1
VID_ (1),2,6,1,2.3,-8.92,3.36,1
VID_ (1),2,6,2,-12.67,-11.57,1.72,1
VID_ (1),2,6,3,-40.64,-15.32,2.0,1
VID_ (1),2,6,4,-48.92,-9.91,-3.95,1
VID_ (1),2,6,5,-49.8,-15.46,0.29,1
VID_ (1),2,6,6,-43.35,-31.56,8.94,1
VID_ (1),2,6,7,-55.16,-6.39,-7.87,1
VID_ (1),2,7,0,-48.92,-9.91,-3.95,1
VID_ (1),2,7,1,-49.8,-15.46,0.29,1
VID_ (1),2,7,2,-43.35,-31.56,8.94,1
VID_ (1),2,7,3,-55.16,-6.39,-7.87,1
VID_ (1),2,7,4,-46.06,-16.48,-0.95,1
VID_ (1),2,7,5,-12.34,-16.34,0.62,1
VID_ (1),2,7,6,-5.83,-14.23,2.51,1
VID_ (1),2,7,7,-3.89,-10.21,0.44,1
VID_ (1),2,8,0,-46.06,-16.48,-0.95,1
VID_ (1),2,8,1,-12.34,-16.34,0.62,1
VID_ (1),2,8,2,-5.83,-14.23,2.51,1
VID_ (1),2,8,3,-3.89,-10.21,0.44,1
VID_ (1),2,8,4,-17.33,-14.16,1.9,1
VID_ (1),2,8,5,-10.39,-13.95,0.51,1
VID_ (1),2,8,6,-1.38,-11.41,-1.66,1
VID_ (1),2,8,7,-1.62,-17.58,-0.23,1
VID_ (1),2,9,0,-17.33,-14.16,1.9,1
VID_ (1),2,9,1,-10.39,-13.95,0.51,1
VID_ (1),2,9,2,-1.38,-11.41,-1.66,1
VID_ (1),2,9,3,-1.62,-17.58,-0.23,1
VID_ (1),2,9,4,1.53,-14.39,0.17,1
VID_ (1),2,9,5,0.5,-6.36,0.05,1
VID_ (1),2,9,6,-0.53,-14.82,5.5,1
VID_ (1),2,9,7,0.03,-10.04,1.72,1
VID_ (1),2,10,0,1.53,-14.39,0.17,1
